Name,Year,Team,Age,Pos.,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA,Err RAA,DP RAA,Bt RAA,Total RAA,/144
심우준,2022,KT,27,SS,129,124,1048.1,74,0,211,298,16,464,80.6,97.0,4.37,-0.82,-0.68,0.4,,-1.11,-1.21
최정,2022,SSG,35,3B,117,115,958.1,61,1,71,170,12,246,69.9,95.3,2.26,1.61,-0.14,0.38,-0.02,1.84,2.18
최정,2023,SSG,36,3B,114,112,934.1,55,0,70,175,13,193,64.8,95.0,2.36,-9.59,1.58,0.69,0.02,-7.31,-8.23
최정,2024,SSG,37,3B,35,33,265.0,12,0,15,40,4,34,52.9,93.2,1.87,-2.64,-0.01,0.0,0.03,-2.62,-10.18
김성욱,2023,NC,30,LF,31,19,167.2,0,0,37,0,0,26,100.0,100.0,1.99,2.46,0.31,,,3.06,4.73
김성욱,2023,NC,30,CF,26,17,154.1,0,0,38,0,0,19,100.0,100.0,2.22,-5.17,0.21,,,-4.85,-7.51
김성욱,2023,NC,30,RF,45,5,119.2,0,0,23,1,0,8,100.0,100.0,1.81,-0.17,0.24,,,1.1,1.71
김성욱,2024,NC,31,LF,5,0,10.0,0,0,0,0,0,0,,,0.00,-0.35,0.01,,,-0.34,-1.22
김성욱,2024,NC,31,CF,35,33,278.1,0,0,76,1,0,32,100.0,100.0,"2.49,",1.45,0.41,,,1.39,5.01
김성욱,2024,NC,31,RF,7,2,24.0,0,0,2,0,0,0,,100.0,0.75,0.51,0.08,,,0.29,1.03
김재호,2022,두산,37,3B,7,4,34.0,5,0,3,10,0,13,61.5,100.0,3.44,1.79,0.03,-0.38,0.12,1.55,2.19
김재호,2022,두산,37,SS,98,61,580.0,53,1,111,184,6,270,77.8,98.0,4.58,1.3,0.48,-1.03,,0.75,1.05
김재호,2023,두산,38,3B,1,0,2.0,0,0,0,1,1,0,,50.0,4.5,-0.3,-0.49,,,-0.79,-1.25
김재호,2023,두산,38,SS,86,71,611.1,29,2,119,166,9,165,75.8,96.9,4.2,7.18,-0.45,0.13,,6.87,10.87
김재호,2024,두산,39,SS,6,5,38.0,1,0,6,9,1,5,60.0,93.8,3.55,-2.15,0.14,0.66,,-1.35,-32.47
허경민,2022,두산,32,2B,1,0,2.0,0,0,0,2,0,2,100.0,100.0,9.0,0.23,0.0,,,0.23,0.27
허경민,2022,두산,32,3B,120,117,976.1,91,0,111,158,9,266,62.4,96.8,2.48,-14.19,0.36,0.24,-0.14,-13.74,-16.35
허경민,2023,두산,33,3B,126,116,997.2,46,0,90,155,5,150,66.0,98.0,2.21,5.55,2.28,-0.43,0.21,7.62,8.44
허경민,2024,두산,34,3B,42,41,331.1,15,1,21,69,3,44,56.8,96.8,2.44,4.41,0.24,0.23,-0.24,4.65,15.56
서건창,2022,LG,33,2B,63,54,474.0,40,0,98,155,4,228,80.7,98.4,4.8,-6.43,0.07,0.07,,-6.29,-11.77
서건창,2023,LG,34,2B,35,25,237.0,11,0,53,61,9,85,76.5,92.7,4.33,-1.65,-1.62,-1.32,,-4.59,-15.03
서건창,2024,KIA,35,1B,17,8,92.0,2,0,69,9,2,35,88.6,97.5,7.63,-2.77,0.23,,-0.01,-2.55,-10.8
서건창,2024,KIA,35,2B,17,7,73.2,0,0,15,23,1,13,92.3,97.4,4.64,-0.2,0.29,0.21,,0.3,1.28
류지혁,2022,KIA,28,1B,36,14,158.0,9,0,155,5,2,161,93.2,98.8,9.11,2.1,0.12,,0.3,2.52,2.86
류지혁,2022,KIA,28,2B,2,0,7.0,0,0,2,8,0,10,100.0,100.0,12.86,0.41,0.01,,,0.42,0.48
류지혁,2022,KIA,28,3B,103,93,785.2,62,0,62,139,11,210,65.2,94.8,2.3,-7.49,-0.29,0.08,-0.34,-8.05,-9.13
류지혁,2023,삼성,29,1B,26,20,176.0,7,0,160,11,0,149,95.3,100.0,8.74,-0.13,0.4,,0.05,0.32,0.35
류지혁,2023,삼성,29,2B,11,6,56.0,5,0,13,18,0,23,78.3,100.0,4.98,0.65,0.2,-0.22,,0.63,0.68
류지혁,2023,삼성,29,3B,44,35,288.0,15,0,18,52,2,47,63.8,97.2,2.19,-1.26,0.45,-0.75,0.42,-1.15,-1.25
류지혁,2023,KIA,29,1B,5,2,18.0,0,0,13,0,0,2,100.0,100.0,6.5,-0.22,0.04,,,-0.18,-0.19
류지혁,2023,KIA,29,2B,7,7,52.0,3,0,11,18,0,17,82.4,100.0,5.02,-1.88,0.19,-0.28,,-1.97,-2.15
류지혁,2023,KIA,29,3B,55,48,402.2,16,0,38,72,4,91,78.0,96.5,2.46,-4.67,0.33,-0.93,-0.17,-5.44,-5.93
류지혁,2024,삼성,30,1B,4,1,10.0,1,0,3,0,0,1,0.0,100.0,2.7,-0.66,0.02,,,-0.64,-3.82
류지혁,2024,삼성,30,2B,18,14,117.1,5,0,17,21,1,24,75.0,97.4,2.91,0.49,0.45,0.0,,0.95,5.7
류지혁,2024,삼성,30,3B,5,4,34.1,0,0,5,5,0,3,100.0,100.0,2.62,-0.45,0.13,-0.28,-0.23,-0.84,-5.02
오재일,2022,삼성,36,1B,119,112,949.0,78,3,881,77,5,939,90.8,99.5,9.09,-1.08,0.71,,-0.16,-0.53,-0.56
오재일,2023,삼성,37,1B,88,80,700.0,54,1,656,53,8,571,89.0,98.9,9.12,9.54,0.11,,0.6,10.25,13.92
오재일,2024,삼성,38,1B,8,8,62.2,6,0,60,4,0,52,88.5,100.0,9.19,-1.13,0.16,,,-0.97,-10.78
강민호,2022,삼성,37,C,95,84,714.1,54,0,546,41,4,58,0.0,99.3,7.4,-1.51,0.73,,0.08,-9.52,-10.54
강민호,2023,삼성,38,C,101,94,786.2,46,0,579,49,3,44,-11.4,99.5,7.18,-0.48,0.61,,-0.45,-7.17,-8.27
강민호,2024,삼성,39,C,38,27,254.0,12,0,219,12,1,15,13.3,99.6,8.19,-0.49,0.62,,-0.32,0.81,2.78
강백호,2022,KT,23,1B,16,13,111.0,11,0,91,7,2,100,87.0,98.0,7.95,0.98,0.08,,0.15,1.21,2.81
강백호,2023,KT,24,1B,6,6,51.0,1,0,43,6,0,48,97.9,100.0,8.65,-0.29,0.12,,,-0.17,-0.35
강백호,2024,KT,25,C,11,7,66.0,3,0,62,5,2,4,-25.0,97.1,9.14,-0.07,-0.71,,,-3.13,-10.47
김강민,2022,SSG,40,CF,60,35,341.0,0,0,85,0,0,85,100.0,100.0,2.24,0.82,0.47,,,1.79,3.07
김강민,2023,SSG,41,CF,33,22,202.1,0,0,57,3,0,44,100.0,100.0,2.67,-0.56,0.27,,,0.31,0.64
김강민,2024,한화,42,CF,11,6,58.0,0,0,14,0,0,5,100.0,100.0,2.17,-1.1,0.09,,,-1.54,-15.82
김헌곤,2022,삼성,34,LF,25,9,104.0,0,0,24,2,0,26,100.0,100.0,2.25,-0.33,0.16,,,0.31,0.55
김헌곤,2023,삼성,35,LF,4,0,4.0,0,0,0,0,0,0,,,0.0,-1.28,0.01,,,-1.08,-25.89
김헌곤,2024,삼성,36,LF,25,5,80.1,0,0,22,0,0,12,100.0,100.0,2.46,-1.77,0.08,,,-1.52,-5.75
김현수,2022,LG,34,LF,96,94,802.1,0,0,172,4,2,176,98.9,98.9,1.97,-3.32,0.24,,,-4.4,-4.5
김현수,2023,LG,35,1B,10,10,68.1,2,0,53,11,2,34,88.2,97.0,8.43,2.37,-0.34,,,2.03,2.19
김현수,2024,LG,36,1B,5,0,8.0,0,0,7,0,0,3,100.0,100.0,7.88,-0.23,0.02,,,-0.2,-0.69
문성현,2023,키움,32,P,31,0,28.1,3,0,2,3,0,3,0.0,100.0,1.59,,,,,0.0,0.0
문성현,2024,키움,33,P,17,0,17.1,2,0,1,1,0,0,,100.0,1.04,,,,,0.0,0.0
박병호,2022,KT,36,1B,107,105,873.0,57,0,861,74,7,912,93.0,99.3,9.64,15.02,0.17,,-0.22,14.98,17.39
박병호,2023,KT,37,1B,92,89,730.1,45,0,669,61,5,543,90.8,99.3,9.0,13.54,1.66,,-0.2,15.0,16.36
박병호,2024,KT,38,1B,29,20,201.1,11,0,171,13,2,104,87.5,98.9,8.23,-0.89,0.51,,-0.01,-0.39,-1.47
박해민,2022,LG,32,1B,1,0,1.0,0,0,1,0,0,1,100.0,100.0,9.0,0.34,0.0,,,0.34,0.34
박해민,2023,LG,33,CF,142,136,1187.2,0,0,338,2,3,187,98.4,99.1,2.58,20.03,0.12,,,20.96,20.96
박해민,2024,LG,34,CF,44,41,350.0,0,0,89,1,0,53,100.0,100.0,2.31,1.91,0.51,,,2.59,8.48
배정대,2022,KT,27,CF,144,134,1195.2,0,0,313,5,3,312,99.0,99.1,2.39,-3.74,0.21,,,-2.37,-2.37
배정대,2023,KT,28,CF,97,93,800.0,0,0,246,6,1,172,99.4,99.6,2.84,-4.27,1.08,,,-1.45,-2.15
배정대,2024,KT,29,CF,14,14,119.0,0,0,35,0,1,23,95.7,97.2,2.65,-4.98,-0.32,,,-5.29,-54.4
손아섭,2022,NC,34,RF,108,108,894.2,0,0,193,7,3,198,98.5,98.5,2.01,8.98,0.13,,,9.8,10.23
손아섭,2023,NC,35,LF,9,9,66.1,0,0,16,0,0,11,100.0,100.0,2.17,-0.31,0.12,,,0.12,0.12
손아섭,2024,NC,36,LF,3,3,24.0,0,0,6,0,0,2,100.0,100.0,2.25,0.84,0.02,,,0.98,3.52
송성문,2022,키움,26,1B,1,0,2.0,0,0,2,1,0,3,100.0,100.0,13.5,0.35,0.0,,,0.36,0.36
송성문,2023,키움,27,1B,26,18,145.2,12,0,134,12,2,120,88.3,98.6,9.02,2.37,-0.16,,,2.21,3.06
송성문,2024,키움,28,1B,8,2,31.0,3,0,25,1,0,18,83.3,100.0,7.55,-2.17,0.08,,,-2.1,-7.36
이용규,2022,키움,37,LF,60,56,442.1,0,0,89,2,2,93,97.8,97.8,1.85,-1.7,-0.3,,,-2.12,-3.54
이용규,2023,키움,38,LF,33,28,244.2,0,0,49,0,0,31,100.0,100.0,1.8,-2.09,0.45,,,-1.49,-4.29
이용규,2024,키움,39,LF,10,9,79.2,0,0,22,0,0,12,100.0,100.0,2.49,1.39,0.07,,,1.76,10.54
장성우,2022,KT,32,C,101,87,763.2,61,0,661,39,7,57,-19.3,99.0,8.25,-0.33,-0.09,,-0.34,7.21,8.87
장성우,2023,KT,33,C,116,104,886.0,49,0,719,43,6,57,3.5,99.2,7.74,0.62,-0.12,,0.08,2.84,3.13
장성우,2024,KT,34,C,35,32,253.2,10,0,221,19,1,8,-37.5,99.6,8.52,-0.62,1.12,,0.06,2.54,9.16
정훈,2022,롯데,35,1B,77,74,614.2,69,0,561,43,2,598,88.1,99.7,8.84,2.09,-0.02,,0.21,2.28,3.61
정훈,2023,롯데,36,1B,65,47,410.1,24,0,344,23,5,259,88.8,98.7,8.05,-10.7,0.44,,-0.29,-10.56,-19.0
정훈,2024,롯데,37,1B,26,24,206.0,9,0,185,18,2,121,90.9,99.0,8.87,-3.31,0.02,,0.01,-3.28,-13.13
최주환,2022,SSG,34,1B,24,18,157.2,10,0,143,14,4,157,91.1,97.5,8.96,-1.27,-1.33,,0.19,-2.41,-3.58
최주환,2023,SSG,35,1B,47,34,293.0,14,0,265,27,2,242,93.4,99.3,8.97,-2.72,-0.32,,0.18,-2.86,-3.08
최주환,2024,키움,36,1B,29,28,250.1,14,0,233,12,1,159,90.6,99.6,8.81,0.79,0.14,,-0.01,0.92,4.13
허도환,2022,LG,38,C,63,27,254.2,19,0,211,13,0,19,0.0,100.0,7.92,-0.01,0.78,,0.07,-4.32,-9.72
허도환,2023,LG,39,C,45,21,212.0,8,0,168,8,0,6,-33.3,100.0,7.47,-0.1,0.56,,0.01,-5.3,-16.25
허도환,2024,LG,40,C,15,6,56.2,1,0,52,1,1,2,0.0,98.1,8.42,-0.04,-0.25,,,-0.76,-7.27
황재균,2022,KT,35,1B,2,1,7.0,1,0,3,2,0,5,80.0,100.0,6.43,0.03,0.01,,,0.04,0.04
황재균,2023,KT,36,3B,107,103,895.0,49,0,82,162,11,192,68.8,95.7,2.45,5.14,0.46,-0.52,-0.09,4.98,6.58
황재균,2024,KT,37,1B,1,0,1.0,0,0,2,0,0,0,,100.0,18.0,0.78,0.0,,,0.78,2.69
